dataset,fold,method,accuracy,weighted_f1,runtime_seconds,search_reduction_percent,n_samples,n_features
Iris,1,L2,1.0,1.0,0.0024616160000050513,,150,4
Iris,1,FullP,1.0,1.0,0.003568568000005712,0.0,150,4
Iris,1,APG_AMS,1.0,1.0,0.0014837899999946558,80.0,150,4
Iris,1,NCA,1.0,1.0,0.0103442769999873,,150,4
Iris,1,LMNN,1.0,1.0,0.2225881410000028,,150,4
Iris,2,L2,0.9333333333333333,0.9326599326599326,0.002008641999992733,,150,4
Iris,2,FullP,0.9333333333333333,0.9326599326599326,0.0034671739999936335,0.0,150,4
Iris,2,APG_AMS,0.9333333333333333,0.9326599326599326,0.0014522929999998269,80.0,150,4
Iris,2,NCA,0.9333333333333333,0.9326599326599326,0.01027553300001216,,150,4
Iris,2,LMNN,0.9333333333333333,0.9326599326599326,0.22204596299999935,,150,4
Iris,3,L2,1.0,1.0,0.0018923970000059853,,150,4
Iris,3,FullP,1.0,1.0,0.0034474349999982223,0.0,150,4
Iris,3,APG_AMS,1.0,1.0,0.0014211959999954615,80.0,150,4
Iris,3,NCA,0.9333333333333333,0.9326599326599326,0.012595185999998648,,150,4
Iris,3,LMNN,1.0,1.0,0.22853339699999253,,150,4
Iris,4,L2,0.9333333333333333,0.9326599326599326,0.0019234039999957986,,150,4
Iris,4,FullP,0.9333333333333333,0.9326599326599326,0.003387023000001932,0.0,150,4
Iris,4,APG_AMS,0.9333333333333333,0.9326599326599326,0.001419713000004208,80.0,150,4
Iris,4,NCA,1.0,1.0,0.0090488310000012,,150,4
Iris,4,LMNN,0.9333333333333333,0.9326599326599326,0.22289207999999405,,150,4
Iris,5,L2,0.9333333333333333,0.9326599326599326,0.001947849999993423,,150,4
Iris,5,FullP,0.9333333333333333,0.9326599326599326,0.0033790720000013152,0.0,150,4
Iris,5,APG_AMS,0.9333333333333333,0.9326599326599326,0.001433042999991585,80.0,150,4
Iris,5,NCA,0.9333333333333333,0.9326599326599326,0.01157577700000445,,150,4
Iris,5,LMNN,0.9333333333333333,0.9326599326599326,0.20663018800000543,,150,4
Iris,6,L2,0.8666666666666667,0.8611111111111112,0.0019941709999926616,,150,4
Iris,6,FullP,0.8666666666666667,0.8611111111111112,0.003438591000005431,0.0,150,4
Iris,6,APG_AMS,0.8666666666666667,0.8611111111111112,0.0014167190000051733,80.0,150,4
Iris,6,NCA,0.8666666666666667,0.8611111111111112,0.010892644999998424,,150,4
Iris,6,LMNN,0.8666666666666667,0.8611111111111112,0.21686335600000461,,150,4
Iris,7,L2,1.0,1.0,0.0018983469999938052,,150,4
Iris,7,FullP,1.0,1.0,0.0033656820000089738,0.0,150,4
Iris,7,APG_AMS,1.0,1.0,0.001402788000007149,80.0,150,4
Iris,7,NCA,1.0,1.0,0.012013518999992812,,150,4
Iris,7,LMNN,1.0,1.0,0.22360929100000249,,150,4
Iris,8,L2,1.0,1.0,0.0019407099999995125,,150,4
Iris,8,FullP,1.0,1.0,0.003391290000010372,0.0,150,4
Iris,8,APG_AMS,1.0,1.0,0.0014147859999980028,80.0,150,4
Iris,8,NCA,0.9333333333333333,0.9326599326599326,0.009704693000003317,,150,4
Iris,8,LMNN,1.0,1.0,0.22670187100000305,,150,4
Iris,9,L2,1.0,1.0,0.0019119570000043495,,150,4
Iris,9,FullP,1.0,1.0,0.003411021000005121,0.0,150,4
Iris,9,APG_AMS,1.0,1.0,0.0014091079999900558,80.0,150,4
Iris,9,NCA,1.0,1.0,0.00937337199999888,,150,4
Iris,9,LMNN,1.0,1.0,0.22221631799999386,,150,4
Iris,10,L2,0.9333333333333333,0.9326599326599326,0.002022974000013278,,150,4
Iris,10,FullP,0.9333333333333333,0.9326599326599326,0.0037185740000040823,0.0,150,4
Iris,10,APG_AMS,0.9333333333333333,0.9326599326599326,0.0015723839999992606,80.0,150,4
Iris,10,NCA,0.9333333333333333,0.9326599326599326,0.01508981400000664,,150,4
Iris,10,LMNN,0.9333333333333333,0.9326599326599326,0.21768703000000755,,150,4
Wine,1,L2,1.0,1.0,0.0019296030000077735,,178,13
Wine,1,FullP,1.0,1.0,0.004290148000009708,0.0,178,13
Wine,1,APG_AMS,1.0,1.0,0.001781260000001339,75.55555555555556,178,13
Wine,1,NCA,1.0,1.0,0.007832214999993425,,178,13
Wine,1,LMNN,1.0,1.0,0.13210408099999427,,178,13
Wine,2,L2,0.8888888888888888,0.8842916342916343,0.0019933000000094125,,178,13
Wine,2,FullP,0.8888888888888888,0.8842916342916343,0.00435024899999803,0.0,178,13
Wine,2,APG_AMS,0.8888888888888888,0.8842916342916343,0.0015721329999962563,80.0,178,13
Wine,2,NCA,0.9444444444444444,0.9448329448329448,0.008159500000004982,,178,13
Wine,2,LMNN,0.8888888888888888,0.8842916342916343,0.12615867399999559,,178,13
Wine,3,L2,1.0,1.0,0.0019955129999971177,,178,13
Wine,3,FullP,1.0,1.0,0.004358181000000627,0.0,178,13
Wine,3,APG_AMS,1.0,1.0,0.001739126000003921,75.55555555555556,178,13
Wine,3,NCA,1.0,1.0,0.009100020000005316,,178,13
Wine,3,LMNN,1.0,1.0,0.1302982739999976,,178,13
Wine,4,L2,0.8888888888888888,0.8875661375661376,0.0021441970000068977,,178,13
Wine,4,FullP,0.8888888888888888,0.8875661375661376,0.004347433999996042,0.0,178,13
Wine,4,APG_AMS,0.8888888888888888,0.8875661375661376,0.0016065260000033277,80.0,178,13
Wine,4,NCA,0.9444444444444444,0.9448329448329448,0.008192199000006894,,178,13
Wine,4,LMNN,0.8888888888888888,0.8875661375661376,0.12930603499999904,,178,13
Wine,5,L2,1.0,1.0,0.001958036999994306,,178,13
Wine,5,FullP,1.0,1.0,0.004366192000006208,0.0,178,13
Wine,5,APG_AMS,1.0,1.0,0.0015541169999977456,80.0,178,13
Wine,5,NCA,1.0,1.0,0.0060511570000016945,,178,13
Wine,5,LMNN,1.0,1.0,0.12885142999999744,,178,13
Wine,6,L2,1.0,1.0,0.0024253920000063545,,178,13
Wine,6,FullP,1.0,1.0,0.004404719999996587,0.0,178,13
Wine,6,APG_AMS,1.0,1.0,0.0015905709999941564,80.0,178,13
Wine,6,NCA,1.0,1.0,0.00773218500000894,,178,13
Wine,6,LMNN,1.0,1.0,0.12993656800000508,,178,13
Wine,7,L2,1.0,1.0,0.0019250570000082234,,178,13
Wine,7,FullP,1.0,1.0,0.004280653000009238,0.0,178,13
Wine,7,APG_AMS,1.0,1.0,0.0015884080000034828,80.0,178,13
Wine,7,NCA,1.0,1.0,0.007850302999997893,,178,13
Wine,7,LMNN,1.0,1.0,0.1321779319999905,,178,13
Wine,8,L2,0.8888888888888888,0.8842916342916343,0.0020271500000035303,,178,13
Wine,8,FullP,0.8888888888888888,0.8842916342916343,0.0043079840000075365,0.0,178,13
Wine,8,APG_AMS,0.8888888888888888,0.8842916342916343,0.001587896999993177,80.0,178,13
Wine,8,NCA,0.9444444444444444,0.9448329448329448,0.0074547259999917515,,178,13
Wine,8,LMNN,0.8888888888888888,0.8842916342916343,0.12486273700000083,,178,13
Wine,9,L2,1.0,1.0,0.0020437360000045146,,178,13
Wine,9,FullP,1.0,1.0,0.0041589599999980464,0.0,178,13
Wine,9,APG_AMS,1.0,1.0,0.001562559999996438,80.0,178,13
Wine,9,NCA,1.0,1.0,0.007641868999996859,,178,13
Wine,9,LMNN,1.0,1.0,0.13053712399999995,,178,13
Wine,10,L2,1.0,1.0,0.002051907999998548,,178,13
Wine,10,FullP,1.0,1.0,0.004156456000004027,0.0,178,13
Wine,10,APG_AMS,1.0,1.0,0.0015556189999870185,80.0,178,13
Wine,10,NCA,1.0,1.0,0.007253002000012998,,178,13
Wine,10,LMNN,1.0,1.0,0.1329654110000007,,178,13
BreastCancer,1,L2,0.9649122807017544,0.9649122807017544,0.029720534000006182,,569,30
BreastCancer,1,FullP,1.0,1.0,0.026282984000005172,0.0,569,30
BreastCancer,1,APG_AMS,0.9649122807017544,0.9649122807017544,0.00675429899999358,74.3859649122807,569,30
BreastCancer,1,NCA,1.0,1.0,0.48637232000000097,,569,30
BreastCancer,1,LMNN,0.9824561403508771,0.9823756902902523,0.39822385700000495,,569,30
BreastCancer,2,L2,0.9824561403508771,0.9823756902902523,0.0037444529999959286,,569,30
BreastCancer,2,FullP,0.9824561403508771,0.9823756902902523,0.0319669560000051,0.0,569,30
BreastCancer,2,APG_AMS,0.9824561403508771,0.9823756902902523,0.010729720999989922,67.36842105263158,569,30
BreastCancer,2,NCA,0.9824561403508771,0.9823756902902523,0.46460797899999307,,569,30
BreastCancer,2,LMNN,0.9824561403508771,0.9823756902902523,0.4017640029999967,,569,30
BreastCancer,3,L2,0.9649122807017544,0.9645092460881936,0.004171047999989241,,569,30
BreastCancer,3,FullP,0.9649122807017544,0.9645092460881936,0.03208401199999855,0.0,569,30
BreastCancer,3,APG_AMS,0.9649122807017544,0.9645092460881936,0.008359201000004646,74.3859649122807,569,30
BreastCancer,3,NCA,0.9649122807017544,0.9649122807017544,0.4528086530000053,,569,30
BreastCancer,3,LMNN,0.9649122807017544,0.9645092460881936,0.4378488159999989,,569,30
BreastCancer,4,L2,0.9298245614035088,0.92797783933518,0.004128334000000677,,569,30
BreastCancer,4,FullP,0.9298245614035088,0.92797783933518,0.0318611360000034,0.0,569,30
BreastCancer,4,APG_AMS,0.9298245614035088,0.92797783933518,0.008772555999996712,72.98245614035088,569,30
BreastCancer,4,NCA,0.9473684210526315,0.9463967611336033,0.6825359019999837,,569,30
BreastCancer,4,LMNN,0.9298245614035088,0.92797783933518,0.42462119399999665,,569,30
BreastCancer,5,L2,0.9473684210526315,0.947087062795646,0.003530871999998908,,569,30
BreastCancer,5,FullP,0.9473684210526315,0.947087062795646,0.0320348079999917,0.0,569,30
BreastCancer,5,APG_AMS,0.9473684210526315,0.947087062795646,0.01029374199998756,68.7719298245614,569,30
BreastCancer,5,NCA,0.9649122807017544,0.9649122807017544,0.4769965249999757,,569,30
BreastCancer,5,LMNN,0.9473684210526315,0.947087062795646,0.35989886200002275,,569,30
BreastCancer,6,L2,0.9473684210526315,0.9463967611336033,0.003910425000015039,,569,30
BreastCancer,6,FullP,0.9473684210526315,0.9463967611336033,0.031995198000004166,0.0,569,30
BreastCancer,6,APG_AMS,0.9473684210526315,0.9463967611336033,0.010289255999992974,68.7719298245614,569,30
BreastCancer,6,NCA,0.9649122807017544,0.9645092460881936,0.29192193500000485,,569,30
BreastCancer,6,LMNN,0.9473684210526315,0.9463967611336033,0.4738958270000069,,569,30
BreastCancer,7,L2,1.0,1.0,0.0039539590000003955,,569,30
BreastCancer,7,FullP,1.0,1.0,0.03507112599999118,0.0,569,30
BreastCancer,7,APG_AMS,1.0,1.0,0.011204203999994888,70.17543859649122,569,30
BreastCancer,7,NCA,1.0,1.0,1.206913936999996,,569,30
BreastCancer,7,LMNN,0.9824561403508771,0.9823623542652152,0.4628069679999953,,569,30
BreastCancer,8,L2,0.9824561403508771,0.982536590411502,0.004184077000019215,,569,30
BreastCancer,8,FullP,0.9649122807017544,0.9652084757347915,0.032042283000009775,0.0,569,30
BreastCancer,8,APG_AMS,0.9649122807017544,0.9652084757347915,0.010245878000006314,68.7719298245614,569,30
BreastCancer,8,NCA,0.9649122807017544,0.9652084757347915,0.6611442019999743,,569,30
BreastCancer,8,LMNN,0.9824561403508771,0.982536590411502,0.4878435100000047,,569,30
BreastCancer,9,L2,0.9473684210526315,0.9463967611336033,0.030853638999985833,,569,30
BreastCancer,9,FullP,0.9649122807017544,0.9645092460881936,0.0258927799999924,0.0,569,30
BreastCancer,9,APG_AMS,0.9473684210526315,0.9463967611336033,0.00704322299998239,72.98245614035088,569,30
BreastCancer,9,NCA,0.9824561403508771,0.9823623542652152,0.8191118320000044,,569,30
BreastCancer,9,LMNN,0.9473684210526315,0.9463967611336033,0.41474114900000814,,569,30
BreastCancer,10,L2,0.9821428571428571,0.982050841635177,0.0026081180000119275,,569,30
BreastCancer,10,FullP,0.9642857142857143,0.9638888888888888,0.032081903999994665,0.0,569,30
BreastCancer,10,APG_AMS,0.9821428571428571,0.982050841635177,0.011654504000006227,64.28571428571428,569,30
BreastCancer,10,NCA,0.9642857142857143,0.9638888888888888,0.3741113270000085,,569,30
BreastCancer,10,LMNN,0.9642857142857143,0.9638888888888888,0.37300254299998414,,569,30
Digits,1,L2,0.9833333333333333,0.9833242333242332,0.00636257499999715,,1797,64
Digits,1,FullP,0.9833333333333333,0.9833333333333332,0.663837878999999,0.0,1797,64
Digits,1,APG_AMS,0.9833333333333333,0.9833333333333332,0.3327560030000143,41.77777777777778,1797,64
Digits,1,NCA,0.9722222222222222,0.97218782249742,0.9070171809999863,,1797,64
Digits,1,LMNN,0.9833333333333333,0.9833290433290434,2.171054589999983,,1797,64
Digits,2,L2,0.9833333333333333,0.9833290433290433,0.024588282999985722,,1797,64
Digits,2,FullP,0.9833333333333333,0.9833290433290433,0.6386080709999931,0.0,1797,64
Digits,2,APG_AMS,0.9833333333333333,0.9833290433290433,0.31866750000000366,43.111111111111114,1797,64
Digits,2,NCA,0.9888888888888889,0.988712681653858,1.255827790000012,,1797,64
Digits,2,LMNN,0.9833333333333333,0.9834712908397117,2.2353391620000025,,1797,64
Digits,3,L2,0.9666666666666667,0.9664857294269059,0.02395711500000175,,1797,64
Digits,3,FullP,0.9722222222222222,0.9720364749776513,0.6421425769999871,0.0,1797,64
Digits,3,APG_AMS,0.9666666666666667,0.9664857294269059,0.3094043039999974,44.44444444444444,1797,64
Digits,3,NCA,0.9722222222222222,0.9722136422136421,1.0658108860000084,,1797,64
Digits,3,LMNN,0.9833333333333333,0.9833290433290433,2.1136202360000027,,1797,64
Digits,4,L2,0.9722222222222222,0.9721916367994798,0.007092405999998164,,1797,64
